scenario;category;metric;device;year;value;unit
ghd6;optimization;tac_distr;;;369310;EUR/a
ghd6;optimization;co2_distr;;;5782;t/a
ghd6;optimization;tac_per_distr_year;;0;435810;EUR/a
ghd6;optimization;co2_sum_distr_year;;0;3876.288705;t/a
ghd6;optimization;LCOE_year;;0;67.2675064472;EUR/MWh
ghd6;optimization;tac_per_distr_year;;5;367702;EUR/a
ghd6;optimization;co2_sum_distr_year;;5;1128.774934;t/a
ghd6;optimization;LCOE_year;;5;60.1605424634;EUR/MWh
ghd6;optimization;tac_per_distr_year;;10;333351;EUR/a
ghd6;optimization;co2_sum_distr_year;;10;506.851649;t/a
ghd6;optimization;LCOE_year;;10;57.6660097935;EUR/MWh
ghd6;optimization;tac_per_distr_year;;15;293870;EUR/a
ghd6;optimization;co2_sum_distr_year;;15;267.993051;t/a
ghd6;optimization;LCOE_year;;15;53.6424320401;EUR/MWh
ghd6;optimization;tac_per_distr_year;;20;286362;EUR/a
ghd6;optimization;co2_sum_distr_year;;20;0.000000;t/a
ghd6;optimization;LCOE_year;;20;54.9695354773;EUR/MWh
ghd6;cost;co2_tax_total;;;0;EUR/a
ghd6;cost;total_inv_cost;;;3524719;EUR/a
ghd6;cost;total_inv_cost_unsubsidized;;;3952748;EUR/a
ghd6;cost;total_ann_inv_cost;;;251548;EUR/a
ghd6;cost;total_ann_inv_cost_unsubsidized;;;283415;EUR/a
ghd6;cost;total_om_cost;;;75872;EUR/a
ghd6;cost;supply_costs_el;;;82947;EUR/a
ghd6;cost;cap_costs_el;;;0;EUR/a
ghd6;cost;total_el_costs;;;82947;EUR/a
ghd6;cost;rev_feed_in_el;;;228781;EUR/a
ghd6;cost;supply_costs_gas;;;0;EUR/a
ghd6;cost;cap_costs_gas;;;0;EUR/a
ghd6;cost;total_gas_costs;;;0;EUR/a
ghd6;cost;rev_feed_in_gas;;;0;EUR/a
ghd6;cost;supply_costs_biom;;;0;EUR/a
ghd6;cost;supply_costs_waste;;;0;EUR/a
ghd6;cost;supply_costs_hydrogen;;;0;EUR/a
ghd6;co2;co2_onsite_emissions;;;0;t/a
ghd6;co2;co2_credit_feedin;;;0;t/a
ghd6;co2;total_co2_el;;;0.0;t/a
ghd6;co2;total_co2_el_feed_in;;;0.0;t/a
ghd6;co2;total_co2_gas;;;0;t/a
ghd6;co2;total_co2_gas_feed_in;;;0;t/a
ghd6;co2;total_co2_biom;;;0;t/a
ghd6;co2;total_co2_waste;;;0;t/a
ghd6;co2;total_co2_hydrogen;;;0;t/a
ghd6;grid;from_el_grid_total;;;45044;MWh
ghd6;grid;to_el_grid_total;;;60363;MWh
ghd6;grid;from_el_main_grid_total;;;45044;MWh
ghd6;grid;to_el_main_grid_total;;;60363;MWh
ghd6;grid;from_network_total;;;0;MWh
ghd6;grid;to_network_total;;;0;MWh
ghd6;grid;from_gas_grid_total;;;0;MWh
ghd6;grid;to_gas_grid_total;;;0;MWh
ghd6;grid;biom_import_total;;;0;MWh
ghd6;grid;waste_import_total;;;0;MWh
ghd6;grid;hydrogen_import_total;;;0;MWh
ghd6;grid;max_el_from_grid;;;1125;kW
ghd6;grid;max_el_to_grid;;;2815;kW
ghd6;grid;max_el_from_main_grid;;;1125;kW
ghd6;grid;max_el_to_main_grid;;;2815;kW
ghd6;grid;max_el_from_network;;;0;kW
ghd6;grid;max_el_to_network;;;0;kW
ghd6;grid;max_gas_from_grid;;;0;kW
ghd6;grid;max_gas_to_grid;;;0;kW
ghd6;grid;max_biom;;;0;
ghd6;grid;max_waste;;;0;
ghd6;grid;max_hydrogen;;;0;
ghd6;area;PV;PV;;20000;qm
