Support_Year;Cluster;Timestep;Heat_Demand_kW
0;0;0;1138.94
0;0;1;1187.016
0;0;2;1227.873
0;0;3;1262.531
0;0;4;1327.985
0;0;5;1395.644
0;0;6;1463.342
0;0;7;1826.495
0;0;8;1854.946
0;0;9;1631.904
0;0;10;1666.257
0;0;11;1623.057
0;0;12;1551.137
0;0;13;1486.647
0;0;14;1436.144
0;0;15;1516.042
0;0;16;1496.584
0;0;17;1351.95
0;0;18;1361.967
0;0;19;1362.612
0;0;20;1424.742
0;0;21;1432.307
0;0;22;1424.029
0;0;23;1376.368
0;0;24;1279.797
0;0;25;1278.308
0;0;26;1290.703
0;0;27;1295.258
0;0;28;1290.157
0;0;29;1282.121
0;0;30;1436.453
0;0;31;1428.581
0;0;32;1281.928
0;0;33;1287.183
0;0;34;1283.142
0;0;35;1231.979
0;0;36;1252.999
0;0;37;1142.796
0;0;38;1117.396
0;0;39;1094.293
0;0;40;1074.461
0;0;41;1085.214
0;0;42;1179.008
0;0;43;1185.658
0;0;44;1234.204
0;0;45;1184.09
0;0;46;1095.585
0;0;47;1106.365
0;0;48;1173.335
0;0;49;1179.023
0;0;50;1187.428
0;0;51;1212.236
0;0;52;1218.888
0;0;53;1210.106
0;0;54;1184.226
0;0;55;1457.101
0;0;56;1443.129
0;0;57;1158.901
0;0;58;1122.786
0;0;59;1091.16
0;0;60;996.502
0;0;61;910.814
0;0;62;861.246
0;0;63;931.362
0;0;64;924.233
0;0;65;809.854
0;0;66;829.463
0;0;67;823.813
0;0;68;909.207
0;0;69;921.211
0;0;70;929.143
0;0;71;897.032
0;0;72;978.602
0;0;73;1005.833
0;0;74;1052.581
0;0;75;1082.745
0;0;76;1126.441
0;0;77;1162.075
0;0;78;1199.72
0;0;79;1519.018
0;0;80;1551.781
0;0;81;1303.974
0;0;82;1288.72
0;0;83;1246.112
0;0;84;1191.308
0;0;85;1141.13
0;0;86;1071.388
0;0;87;1147.131
0;0;88;1114.017
0;0;89;974.273
0;0;90;978.98
0;0;91;996.388
0;0;92;1059.198
0;0;93;1086.6
0;0;94;1079.231
0;0;95;992.898
0;0;96;1115.334
0;0;97;1118.159
0;0;98;1124.114
0;0;99;1118.521
0;0;100;1113.711
0;0;101;1109.484
0;0;102;1277.94
0;0;103;1285.835
0;0;104;1148.589
0;0;105;1127.451
0;0;106;1099.967
0;0;107;1028.835
0;0;108;1058.224
0;0;109;966.931
0;0;110;950.229
0;0;111;944.173
0;0;112;938.868
0;0;113;923.145
0;0;114;1017.38
0;0;115;1039.544
0;0;116;1037.148
0;0;117;1041.211
0;0;118;909.841
0;0;119;899.7
0;0;120;917.816
0;0;121;896.471
0;0;122;863.197
0;0;123;844.677
0;0;124;833.123
0;0;125;811.666
0;0;126;972.277
0;0;127;943.683
0;0;128;779.303
0;0;129;764.761
0;0;130;726.929
0;0;131;694.827
0;0;132;779.174
0;0;133;696.887
0;0;134;687.86
0;0;135;670.236
0;0;136;669.071
0;0;137;689.043
0;0;138;819.587
0;0;139;850.074
0;0;140;875.956
0;0;141;871.248
0;0;142;751.601
0;0;143;780.151
0;0;144;834.569
0;0;145;840.563
0;0;146;860.045
0;0;147;870.595
0;0;148;879.116
0;0;149;912.247
0;0;150;1100.354
0;0;151;1096.898
0;0;152;985.454
0;0;153;1011.167
0;0;154;998.499
0;0;155;970.018
0;0;156;973.999
0;0;157;829.907
0;0;158;780.768
0;0;159;751.263
0;0;160;734.581
0;0;161;750.122
0;0;162;859.56
0;0;163;903.864
0;0;164;950.886
0;0;165;926.422
0;0;166;834.472
0;0;167;880.504
0;1;0;9.966
0;1;1;8.429
0;1;2;8.132
0;1;3;9.496
0;1;4;10.295
0;1;5;7.987
0;1;6;92.406
0;1;7;114.609
0;1;8;30.9
0;1;9;28.229
0;1;10;34.87
0;1;11;31.163
0;1;12;66.918
0;1;13;31.361
0;1;14;31.663
0;1;15;33.829
0;1;16;33.397
0;1;17;27.846
0;1;18;78.482
0;1;19;84.906
0;1;20;80.432
0;1;21;82.883
0;1;22;11.402
0;1;23;8.968
0;1;24;8.816
0;1;25;7.588
0;1;26;8.826
0;1;27;10.7
0;1;28;7.781
0;1;29;9.068
0;1;30;78.054
0;1;31;113.176
0;1;32;34.359
0;1;33;30.939
0;1;34;34.027
0;1;35;32.794
0;1;36;62.537
0;1;37;30.234
0;1;38;32.301
0;1;39;33.681
0;1;40;30.028
0;1;41;30.897
0;1;42;86.325
0;1;43;77.478
0;1;44;82.212
0;1;45;83.812
0;1;46;9.31
0;1;47;8.599
0;1;48;12.349
0;1;49;10.398
0;1;50;11.96
0;1;51;12.506
0;1;52;13.273
0;1;53;13.739
0;1;54;14.231
0;1;55;186.872
0;1;56;186.952
0;1;57;35.113
0;1;58;37.494
0;1;59;33.565
0;1;60;30.358
0;1;61;30.488
0;1;62;37.014
0;1;63;91.216
0;1;64;90.833
0;1;65;18.061
0;1;66;24.651
0;1;67;20.771
0;1;68;61.127
0;1;69;54.205
0;1;70;55.93
0;1;71;12.701
0;1;72;12.597
0;1;73;13.93
0;1;74;13.447
0;1;75;12.582
0;1;76;13.6
0;1;77;11.533
0;1;78;12.199
0;1;79;192.835
0;1;80;176.689
0;1;81;34.379
0;1;82;35.957
0;1;83;32.713
0;1;84;32.388
0;1;85;33.93
0;1;86;33.311
0;1;87;87.629
0;1;88;97.595
0;1;89;21.6
0;1;90;24.577
0;1;91;18.095
0;1;92;59.379
0;1;93;66.306
0;1;94;64.769
0;1;95;12.569
0;1;96;9.655
0;1;97;10.52
0;1;98;8.459
0;1;99;9.281
0;1;100;8.892
0;1;101;8.843
0;1;102;103.197
0;1;103;116.255
0;1;104;31.915
0;1;105;36.445
0;1;106;30.113
0;1;107;31.76
0;1;108;60.967
0;1;109;26.038
0;1;110;31.802
0;1;111;36.528
0;1;112;33.652
0;1;113;25.993
0;1;114;81.085
0;1;115;87.441
0;1;116;90.604
0;1;117;76.989
0;1;118;9.504
0;1;119;8.118
0;1;120;9.059
0;1;121;7.454
0;1;122;9.874
0;1;123;6.641
0;1;124;10.246
0;1;125;8.391
0;1;126;107.505
0;1;127;113.316
0;1;128;29.653
0;1;129;29.38
0;1;130;29.0
0;1;131;32.258
0;1;132;70.137
0;1;133;29.262
0;1;134;33.418
0;1;135;30.755
0;1;136;29.851
0;1;137;30.085
0;1;138;87.269
0;1;139;90.05
0;1;140;84.71
0;1;141;81.427
0;1;142;10.176
0;1;143;9.175
0;1;144;7.853
0;1;145;11.408
0;1;146;9.104
0;1;147;10.119
0;1;148;8.311
0;1;149;8.901
0;1;150;93.606
0;1;151;109.692
0;1;152;32.116
0;1;153;24.567
0;1;154;31.649
0;1;155;34.161
0;1;156;71.478
0;1;157;32.247
0;1;158;32.78
0;1;159;31.494
0;1;160;35.374
0;1;161;28.645
0;1;162;80.181
0;1;163;79.274
0;1;164;90.168
0;1;165;73.058
0;1;166;9.849
0;1;167;8.761
0;2;0;303.895
0;2;1;335.382
0;2;2;362.714
0;2;3;402.041
0;2;4;425.743
0;2;5;451.83
0;2;6;627.52
0;2;7;631.757
0;2;8;553.781
0;2;9;564.331
0;2;10;534.542
0;2;11;455.119
0;2;12;378.221
0;2;13;270.142
0;2;14;236.473
0;2;15;214.59
0;2;16;201.17
0;2;17;206.235
0;2;18;361.128
0;2;19;391.015
0;2;20;437.566
0;2;21;491.747
0;2;22;434.072
0;2;23;503.876
0;2;24;592.11
0;2;25;632.707
0;2;26;669.476
0;2;27;720.254
0;2;28;742.134
0;2;29;789.642
0;2;30;933.483
0;2;31;974.896
0;2;32;863.517
0;2;33;836.994
0;2;34;754.247
0;2;35;648.609
0;2;36;571.766
0;2;37;409.609
0;2;38;305.618
0;2;39;238.39
0;2;40;184.305
0;2;41;188.121
0;2;42;276.602
0;2;43;324.718
0;2;44;354.623
0;2;45;388.712
0;2;46;326.234
0;2;47;363.741
0;2;48;376.419
0;2;49;398.186
0;2;50;418.526
0;2;51;438.733
0;2;52;451.341
0;2;53;460.856
0;2;54;438.988
0;2;55;632.598
0;2;56;634.211
0;2;57;399.751
0;2;58;390.58
0;2;59;348.249
0;2;60;300.227
0;2;61;244.953
0;2;62;200.993
0;2;63;261.618
0;2;64;219.965
0;2;65;127.605
0;2;66;144.444
0;2;67;173.342
0;2;68;239.935
0;2;69;257.711
0;2;70;295.418
0;2;71;272.298
0;2;72;330.318
0;2;73;338.686
0;2;74;360.68
0;2;75;373.835
0;2;76;386.661
0;2;77;397.827
0;2;78;411.558
0;2;79;669.237
0;2;80;652.395
0;2;81;444.085
0;2;82;412.472
0;2;83;329.917
0;2;84;256.422
0;2;85;208.224
0;2;86;187.023
0;2;87;258.536
0;2;88;268.913
0;2;89;188.888
0;2;90;215.225
0;2;91;241.85
0;2;92;309.263
0;2;93;347.876
0;2;94;379.04
0;2;95;344.19
0;2;96;529.239
0;2;97;549.257
0;2;98;570.991
0;2;99;589.676
0;2;100;614.736
0;2;101;646.573
0;2;102;794.573
0;2;103;797.473
0;2;104;693.72
0;2;105;655.401
0;2;106;627.8
0;2;107;568.112
0;2;108;565.796
0;2;109;467.298
0;2;110;469.943
0;2;111;476.326
0;2;112;461.976
0;2;113;470.259
0;2;114;572.168
0;2;115;575.226
0;2;116;582.698
0;2;117;596.928
0;2;118;525.868
0;2;119;559.818
0;2;120;628.523
0;2;121;654.253
0;2;122;688.891
0;2;123;708.867
0;2;124;725.886
0;2;125;737.741
0;2;126;872.508
0;2;127;865.865
0;2;128;752.145
0;2;129;721.889
0;2;130;692.2
0;2;131;642.217
